addr	size	name	confidence	args	ret	callers	callees	frame	saved	tags
0x80010000	140	BootEntry	high	0	u32	0	2	0	ra	break|gp
0x8001008C	136	func_8001008C	verified	2	u32	1	4	16	s0|s1|s2|ra	
0x80010114	68	func_80010114	verified	4	void	2	2	32	ra	
0x80010158	12	func_80010158	high	0	u32	6	0	0		leaf|gp
0x80010164	40	func_80010164	high	0	u32	4	0	0		leaf|gp
0x8001018C	40	func_8001018C	high	0	u32	1	0	0		leaf|gp
0x800101B4	36	func_800101B4	verified	1	void	2	1	8	ra	gp
0x800101E4	12	func_800101E4	low	0	u32	1	0	0		leaf|gp|orphan
0x800102C0	92	func_800102C0	verified	2	u32	1	1	16	s0|s1|ra	
0x8001031C	168	func_8001031C	verified	2	u32	1	1	16	s0|s1|s2|ra	
0x80010460	40	func_80010460	verified	1	u32	1	1	8	ra	addr_taken
0x80010488	672	func_80010488	high	4	u32	1	14	0	s0|s1|s2|fp|ra	indirect
0x80010728	2468	func_80010728	medium	0	u32	1	75	128	s0|s1|s2|s3|s4|s5|s6|s7|fp|ra	gp
0x800110CC	36	func_800110CC	verified	0	void	1	1	8	ra	gp
0x800110F8	248	func_800110F8	low	2	u32	0	0	0		leaf|orphan
0x800111F0	76	func_800111F0	low	2	u32	0	0	0		leaf|orphan
0x8001123C	92	func_8001123C	high	1	u32	6	2	0	s0|ra	gp
0x800112A0	48	func_800112A0	verified	0	u32	5	1	8	ra	
0x800112D0	432	func_800112D0	medium	2	u32	0	2	40	s0|s1|s2|s3|s4|s5|s6|s7|fp|ra	orphan
0x80011480	92	func_80011480	medium	1	u32	0	1	8	s0|ra	gp|orphan
0x800114DC	120	func_800114DC	high	0	u32	2	1	0	s0|ra	gp|indirect
0x80011768	80	func_80011768	high	2	u32	5	0	0		leaf
0x800117B8	80	func_800117B8	low	2	u32	2	0	0		leaf|orphan
0x80011808	808	func_80011808	verified	4	u32	2	12	584	s0|s1|s2|s3|s4|s5|s6|s7|fp|ra	gp|indirect
0x80011B30	160	func_80011B30	verified	3	u32	2	1	8	s0|ra	
0x80011BD0	292	func_80011BD0	verified	4	u32	3	4	32	s0|s1|s2|s3|s4|s5|s6|ra	
0x80011CF4	204	func_80011CF4	verified	2	u32	1	2	16	s0|s1|s2|ra	gp
0x80011DC0	332	func_80011DC0	verified	2	u32	3	3	32	s0|s1|s2|s3|s4|s5|s6|ra	gp
0x80011F0C	272	func_80011F0C	verified	3	u32	3	3	48	s0|s1|s2|s3|s4|ra	
0x8001201C	116	func_8001201C	verified	2	u32	2	1	16	s0|s1|s2|ra	
0x80012090	72	func_80012090	low	2	u32	0	0	0		leaf|orphan
0x800120D8	112	func_800120D8	verified	2	u32	2	1	16	s0|s1|s2|ra	
0x80012148	320	func_80012148	verified	2	u32	9	3	56	s0|s1|s2|s3|s4|s5|s6|fp|ra	gp
0x80012288	340	func_80012288	verified	3	u32	1	3	64	s0|s1|s2|s3|s4|s5|s6|s7|fp|ra	gp
0x800123DC	92	func_800123DC	verified	2	u32	1	1	16	s0|s1|ra	
0x80012438	416	func_80012438	verified	3	u32	6	4	56	s0|s1|s2|s3|s4|s5|s6|s7|fp|ra	gp
0x800125D8	460	func_800125D8	verified	4	u32	1	4	80	s0|s1|s2|s3|s4|s5|s6|s7|fp|ra	gp
0x800127A4	296	func_800127A4	verified	3	u32	2	5	24	s0|s1|s2|s3|s4|ra	gp
0x800128CC	168	func_800128CC	verified	1	u32	4	4	16	s0|s1|s2|ra	
0x80012974	84	func_80012974	verified	0	u32	1	2	16	s0|s1|ra	
0x800129C8	92	func_800129C8	verified	0	u32	1	1	16	s0|s1|ra	
0x80012A24	124	func_80012A24	verified	1	u32	4	1	16	s0|s1|s2|ra	
